@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17'

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute large_snake numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
200,180,50,250,DOWN,LEFT,220,7,True,True,False,True,False,False,DOWN,DOWN
240,300,290,50,UP,RIGHT,300,42,True,False,True,True,False,False,RIGHT,RIGHT
130,220,260,150,UP,RIGHT,200,15,True,False,True,True,True,False,RIGHT,RIGHT
180,140,260,150,DOWN,RIGHT,90,15,True,False,True,True,False,False,RIGHT,RIGHT
200,450,210,440,UP,RIGHT,20,44,False,True,True,True,False,False,LEFT,LEFT
170,130,170,100,UP,EQUAL,30,6,True,True,True,False,True,False,UP,UP
280,0,420,20,DOWN,RIGHT,160,4,True,False,False,True,False,False,RIGHT,RIGHT
120,50,130,10,UP,RIGHT,50,3,True,True,False,True,True,False,DOWN,DOWN
430,270,40,240,UP,LEFT,420,57,True,True,True,False,True,False,UP,UP
430,320,280,450,EQUAL,EQUAL,280,47,True,True,False,True,False,False,DOWN,DOWN
130,420,160,410,UP,RIGHT,40,54,False,True,True,True,True,False,LEFT,LEFT
30,220,430,320,DOWN,RIGHT,500,46,True,True,False,True,True,False,DOWN,DOWN
140,330,20,330,EQUAL,LEFT,120,33,False,True,True,True,False,False,LEFT,LEFT
240,190,460,440,DOWN,RIGHT,470,58,True,False,True,True,True,False,RIGHT,RIGHT
80,290,80,410,DOWN,EQUAL,120,34,True,True,False,True,False,True,DOWN,DOWN
320,250,120,50,UP,LEFT,400,27,True,True,True,False,True,False,UP,UP
80,90,10,110,DOWN,LEFT,90,28,False,True,True,True,False,False,LEFT,LEFT
