@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17'

@attribute snake_pos_x {'\'(-inf-56]\'','\'(56-102]\'','\'(102-148]\'','\'(148-194]\'','\'(194-240]\'','\'(240-286]\'','\'(286-332]\'','\'(332-378]\'','\'(378-424]\'','\'(424-inf)\''}
@attribute snake_pos_y {'\'(-inf-47]\'','\'(47-94]\'','\'(94-141]\'','\'(141-188]\'','\'(188-235]\'','\'(235-282]\'','\'(282-329]\'','\'(329-376]\'','\'(376-423]\'','\'(423-inf)\''}
@attribute food_pos_x {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_pos_y {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance {'\'(-inf-78]\'','\'(78-146]\'','\'(146-214]\'','\'(214-282]\'','\'(282-350]\'','\'(350-418]\'','\'(418-486]\'','\'(486-554]\'','\'(554-622]\'','\'(622-inf)\''}
@attribute large_snake {'\'(-inf-8.8]\'','\'(8.8-14.6]\'','\'(14.6-20.4]\'','\'(20.4-26.2]\'','\'(26.2-32]\'','\'(32-37.8]\'','\'(37.8-43.6]\'','\'(43.6-49.4]\'','\'(49.4-55.2]\'','\'(55.2-inf)\''}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
'\'(194-240]\'','\'(329-376]\'','\'(-inf-55]\'','\'(325-370]\'',EQUAL,LEFT,'\'(146-214]\'','\'(32-37.8]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(194-240]\'','\'(329-376]\'','\'(55-100]\'','\'(-inf-55]\'',UP,LEFT,'\'(418-486]\'','\'(49.4-55.2]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(56-102]\'','\'(188-235]\'','\'(235-280]\'','\'(145-190]\'',UP,RIGHT,'\'(214-282]\'','\'(14.6-20.4]\'',True,True,False,True,True,False,DOWN,RIGHT
'\'(194-240]\'','\'(94-141]\'','\'(-inf-55]\'','\'(235-280]\'',DOWN,LEFT,'\'(282-350]\'','\'(-inf-8.8]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(148-194]\'','\'(188-235]\'','\'(145-190]\'','\'(325-370]\'',DOWN,EQUAL,'\'(146-214]\'','\'(49.4-55.2]\'',True,True,False,True,True,False,DOWN,DOWN
'\'(286-332]\'','\'(423-inf)\'','\'(370-415]\'','\'(235-280]\'',UP,RIGHT,'\'(214-282]\'','\'(37.8-43.6]\'',False,True,True,True,True,False,LEFT,LEFT
'\'(424-inf)\'','\'(329-376]\'','\'(415-inf)\'','\'(415-inf)\'',DOWN,RIGHT,'\'(78-146]\'','\'(55.2-inf)\'',True,True,False,True,True,False,DOWN,DOWN
'\'(56-102]\'','\'(47-94]\'','\'(190-235]\'','\'(55-100]\'',EQUAL,RIGHT,'\'(146-214]\'','\'(26.2-32]\'',True,True,False,True,True,False,DOWN,RIGHT
'\'(148-194]\'','\'(235-282]\'','\'(-inf-55]\'','\'(235-280]\'',UP,LEFT,'\'(78-146]\'','\'(-inf-8.8]\'',False,True,True,True,True,False,LEFT,LEFT
'\'(56-102]\'','\'(235-282]\'','\'(55-100]\'','\'(-inf-55]\'',UP,RIGHT,'\'(282-350]\'','\'(8.8-14.6]\'',True,True,True,False,True,False,UP,UP
'\'(424-inf)\'','\'(376-423]\'','\'(370-415]\'','\'(235-280]\'',UP,LEFT,'\'(146-214]\'','\'(37.8-43.6]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(332-378]\'','\'(188-235]\'','\'(325-370]\'','\'(325-370]\'',EQUAL,EQUAL,'\'(78-146]\'','\'(49.4-55.2]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(378-424]\'','\'(47-94]\'','\'(370-415]\'','\'(55-100]\'',DOWN,EQUAL,'\'(-inf-78]\'','\'(49.4-55.2]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(102-148]\'','\'(-inf-47]\'','\'(55-100]\'','\'(-inf-55]\'',UP,LEFT,'\'(-inf-78]\'','\'(8.8-14.6]\'',True,True,False,True,True,False,DOWN,DOWN
'\'(194-240]\'','\'(282-329]\'','\'(415-inf)\'','\'(280-325]\'',DOWN,RIGHT,'\'(214-282]\'','\'(43.6-49.4]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(148-194]\'','\'(376-423]\'','\'(190-235]\'','\'(325-370]\'',UP,RIGHT,'\'(78-146]\'','\'(37.8-43.6]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(286-332]\'','\'(235-282]\'','\'(145-190]\'','\'(235-280]\'',EQUAL,LEFT,'\'(78-146]\'','\'(20.4-26.2]\'',False,True,True,True,True,False,LEFT,LEFT
'\'(56-102]\'','\'(-inf-47]\'','\'(55-100]\'','\'(145-190]\'',DOWN,LEFT,'\'(146-214]\'','\'(8.8-14.6]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(286-332]\'','\'(329-376]\'','\'(55-100]\'','\'(325-370]\'',EQUAL,LEFT,'\'(146-214]\'','\'(8.8-14.6]\'',False,True,True,True,True,False,LEFT,LEFT
'\'(286-332]\'','\'(188-235]\'','\'(415-inf)\'','\'(145-190]\'',UP,RIGHT,'\'(146-214]\'','\'(14.6-20.4]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(424-inf)\'','\'(141-188]\'','\'(325-370]\'','\'(190-235]\'',DOWN,LEFT,'\'(146-214]\'','\'(49.4-55.2]\'',True,True,True,False,True,False,UP,UP
'\'(424-inf)\'','\'(188-235]\'','\'(415-inf)\'','\'(145-190]\'',UP,RIGHT,'\'(-inf-78]\'','\'(14.6-20.4]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(424-inf)\'','\'(188-235]\'','\'(-inf-55]\'','\'(235-280]\'',DOWN,LEFT,'\'(350-418]\'','\'(55.2-inf)\'',True,True,True,False,True,False,UP,LEFT
'\'(56-102]\'','\'(94-141]\'','\'(55-100]\'','\'(-inf-55]\'',UP,RIGHT,'\'(146-214]\'','\'(8.8-14.6]\'',True,True,True,False,True,False,UP,UP
'\'(148-194]\'','\'(141-188]\'','\'(145-190]\'','\'(55-100]\'',UP,RIGHT,'\'(-inf-78]\'','\'(-inf-8.8]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(424-inf)\'','\'(188-235]\'','\'(415-inf)\'','\'(415-inf)\'',DOWN,RIGHT,'\'(214-282]\'','\'(55.2-inf)\'',True,False,True,True,True,False,RIGHT,DOWN
'\'(286-332]\'','\'(423-inf)\'','\'(235-280]\'','\'(415-inf)\'',EQUAL,LEFT,'\'(-inf-78]\'','\'(43.6-49.4]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(102-148]\'','\'(329-376]\'','\'(-inf-55]\'','\'(325-370]\'',EQUAL,LEFT,'\'(78-146]\'','\'(32-37.8]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(194-240]\'','\'(188-235]\'','\'(415-inf)\'','\'(415-inf)\'',DOWN,RIGHT,'\'(486-554]\'','\'(55.2-inf)\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(378-424]\'','\'(329-376]\'','\'(415-inf)\'','\'(325-370]\'',DOWN,RIGHT,'\'(78-146]\'','\'(32-37.8]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(286-332]\'','\'(94-141]\'','\'(280-325]\'','\'(100-145]\'',DOWN,EQUAL,'\'(-inf-78]\'','\'(43.6-49.4]\'',True,False,False,True,True,True,DOWN,DOWN
'\'(-inf-56]\'','\'(94-141]\'','\'(-inf-55]\'','\'(100-145]\'',EQUAL,LEFT,'\'(-inf-78]\'','\'(26.2-32]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(-inf-56]\'','\'(235-282]\'','\'(-inf-55]\'','\'(415-inf)\'',DOWN,LEFT,'\'(214-282]\'','\'(20.4-26.2]\'',False,True,True,True,True,False,LEFT,LEFT
