@relation snake_game

@attribute snake_pos_x NUMERIC
@attribute snake_pos_y NUMERIC
@attribute snake_pos_x_next NUMERIC
@attribute snake_pos_y_next NUMERIC
@attribute food_pos_x NUMERIC
@attribute food_pos_y NUMERIC
@attribute food_side_y {UP, DOWN, EQUAL}
@attribute food_side_x {RIGHT, LEFT, EQUAL}
@attribute manhattan_distance NUMERIC
@attribute next_manhattan_distance NUMERIC
@attribute large_snake NUMERIC
@attribute right_safe {True, False}
@attribute left_safe {True, False}
@attribute up_safe {True, False}
@attribute down_safe {True, False}
@attribute cycle {True, False}
@attribute body_indirection {True, False}
@attribute previous_direction {UP, DOWN, LEFT, RIGHT}
@attribute direction {UP, DOWN, LEFT, RIGHT}
@attribute score NUMERIC
@attribute next_score NUMERIC

@data
360,200,360,210,360,270,DOWN,EQUAL,70,60,3,True,True,False,True,False,False,DOWN,DOWN,-41,-42
360,210,360,220,360,270,DOWN,EQUAL,60,50,3,True,True,False,True,False,False,DOWN,DOWN,-42,-43
360,210,360,220,360,270,DOWN,EQUAL,60,50,3,True,True,False,True,False,False,DOWN,DOWN,-42,-43
360,220,360,230,360,270,DOWN,EQUAL,50,40,3,True,True,False,True,False,False,DOWN,DOWN,-43,-44
360,220,360,230,360,270,DOWN,EQUAL,50,40,3,True,True,False,True,False,False,DOWN,DOWN,-43,-44
360,230,360,240,360,270,DOWN,EQUAL,40,30,3,True,True,False,True,False,False,DOWN,DOWN,-44,-45
360,230,360,240,360,270,DOWN,EQUAL,40,30,3,True,True,False,True,False,False,DOWN,DOWN,-44,-45
360,240,360,250,360,270,DOWN,EQUAL,30,20,3,True,True,False,True,False,False,DOWN,DOWN,-45,-46
360,240,360,250,360,270,DOWN,EQUAL,30,20,3,True,True,False,True,False,False,DOWN,DOWN,-45,-46
360,250,360,260,360,270,DOWN,EQUAL,20,10,3,True,True,False,True,False,False,DOWN,DOWN,-46,-47
360,250,360,260,360,270,DOWN,EQUAL,20,10,3,True,True,False,True,False,False,DOWN,DOWN,-46,-47
360,260,360,270,360,270,DOWN,EQUAL,10,0,3,True,True,False,True,False,False,DOWN,DOWN,-47,53
360,260,360,270,360,270,DOWN,EQUAL,10,0,3,True,True,False,True,False,False,DOWN,DOWN,-47,53
360,270,360,280,270,220,EQUAL,EQUAL,140,150,4,True,True,False,True,False,False,DOWN,DOWN,53,52
360,270,360,280,270,220,EQUAL,EQUAL,140,150,4,True,True,False,True,False,False,DOWN,DOWN,53,52
360,280,360,290,270,220,UP,LEFT,150,160,4,True,True,False,True,False,False,DOWN,DOWN,52,51
360,280,360,290,270,220,UP,LEFT,150,160,4,True,True,False,True,False,False,DOWN,DOWN,52,51
360,290,360,300,270,220,UP,LEFT,160,170,4,True,True,False,True,False,False,DOWN,DOWN,51,50
360,290,360,300,270,220,UP,LEFT,160,170,4,True,True,False,True,False,False,DOWN,DOWN,51,50
360,300,350,300,270,220,UP,LEFT,170,160,4,True,True,False,True,False,False,DOWN,LEFT,50,49
360,300,350,300,270,220,UP,LEFT,170,160,4,True,True,False,True,False,False,LEFT,LEFT,50,49
350,300,340,300,270,220,UP,LEFT,160,150,4,False,True,True,True,False,False,LEFT,LEFT,49,48
350,300,340,300,270,220,UP,LEFT,160,150,4,False,True,True,True,False,False,LEFT,LEFT,49,48
340,300,330,300,270,220,UP,LEFT,150,140,4,False,True,True,True,False,False,LEFT,LEFT,48,47
340,300,330,300,270,220,UP,LEFT,150,140,4,False,True,True,True,False,False,LEFT,LEFT,48,47
330,300,320,300,270,220,UP,LEFT,140,130,4,False,True,True,True,False,False,LEFT,LEFT,47,46
330,300,320,300,270,220,UP,LEFT,140,130,4,False,True,True,True,False,False,LEFT,LEFT,47,46
320,300,310,300,270,220,UP,LEFT,130,120,4,False,True,True,True,False,False,LEFT,LEFT,46,45
320,300,310,300,270,220,UP,LEFT,130,120,4,False,True,True,True,False,False,LEFT,LEFT,46,45
310,300,300,300,270,220,UP,LEFT,120,110,4,False,True,True,True,False,False,LEFT,LEFT,45,44
310,300,300,300,270,220,UP,LEFT,120,110,4,False,True,True,True,False,False,LEFT,LEFT,45,44
300,300,290,300,270,220,UP,LEFT,110,100,4,False,True,True,True,False,False,LEFT,LEFT,44,43
300,300,290,300,270,220,UP,LEFT,110,100,4,False,True,True,True,False,False,LEFT,LEFT,44,43
290,300,280,300,270,220,UP,LEFT,100,90,4,False,True,True,True,False,False,LEFT,LEFT,43,42
290,300,280,300,270,220,UP,LEFT,100,90,4,False,True,True,True,False,False,LEFT,LEFT,43,42
280,300,270,300,270,220,UP,LEFT,90,80,4,False,True,True,True,False,False,LEFT,LEFT,42,41
280,300,270,300,270,220,UP,LEFT,90,80,4,False,True,True,True,False,False,LEFT,LEFT,42,41
