@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-4,8,13'

@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
DOWN,RIGHT,60,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,240,True,True,True,False,False,UP,UP
DOWN,LEFT,190,True,True,True,False,False,UP,UP
UP,LEFT,280,True,True,True,False,False,UP,UP
DOWN,RIGHT,50,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,270,True,False,False,True,False,RIGHT,RIGHT
EQUAL,EQUAL,380,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,280,True,True,True,False,False,UP,UP
DOWN,LEFT,320,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,170,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,250,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,160,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,400,True,False,True,True,True,RIGHT,RIGHT
UP,LEFT,440,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,340,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,60,True,True,False,True,False,DOWN,RIGHT
UP,EQUAL,40,True,True,True,False,False,UP,UP
UP,LEFT,170,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,230,True,False,True,True,False,RIGHT,RIGHT
UP,LEFT,220,True,True,True,False,False,UP,UP
DOWN,LEFT,450,True,True,True,False,False,UP,LEFT
DOWN,LEFT,200,False,True,True,True,False,LEFT,LEFT
UP,LEFT,170,True,True,True,False,False,UP,UP
UP,LEFT,80,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,20,True,True,False,True,False,DOWN,DOWN
EQUAL,RIGHT,10,True,True,False,True,False,DOWN,RIGHT
EQUAL,RIGHT,30,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,200,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,20,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,590,True,False,True,False,False,UP,UP
UP,EQUAL,230,True,True,True,False,False,UP,UP
DOWN,RIGHT,480,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,240,True,True,True,False,False,UP,UP
DOWN,LEFT,330,False,True,True,True,False,LEFT,DOWN
DOWN,RIGHT,20,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,480,True,True,False,True,False,DOWN,DOWN
UP,LEFT,260,True,True,True,False,False,UP,UP
DOWN,EQUAL,50,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,180,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,140,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,140,True,False,True,True,False,RIGHT,RIGHT
UP,LEFT,270,True,True,True,False,False,UP,UP
DOWN,LEFT,140,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,60,True,False,False,True,True,DOWN,DOWN
DOWN,RIGHT,30,True,True,False,True,False,DOWN,DOWN
